mx,my,mz
-82.2222, -52.3977, -30.1364
-81.23, -54.2539, -30.4471
-81.6764, -52.3587, -30.1364
-81.4941, -52.292, -30.8998
-81.5318, -51.5374, -30.2584
-82.2864, -50.4056, -29.6171
-81.2677, -51.6129, -29.5793
-83.5314, -51.6506, -29.6548
-81.4941, -51.5374, -30.8998
-82.2864, -52.9334, -30.6735
-81.1168, -53.0466, -29.6925
-82.2109, -52.5938, -30.2584
-82.8146, -52.5938, -30.1453
-81.7959, -52.9711, -30.6735
-80.664, -51.5752, -30.2207
-81.6072, -52.6693, -30.0321
-83.5314, -53.9521, -29.353
-82.4373, -52.9334, -29.9189
-82.6511, -51.462, -30.9162
-81.3431, -53.4993, -30.183
-82.846, -52.3587, -29.8246
-82.06, -51.877, -29.8434
-81.0036, -52.7825, -28.7493
-82.5127, -51.9902, -29.9943
-81.9845, -52.0279, -30.7112
-80.0981, -53.4616, -31.2771
-77.4571, -56.1026, -28.8247
-83.2673, -50.7829, -29.9189
-98.9864, -43.2749, -25.848
-85.6442, -39.087, -43.388
-73.1384, -33.3333, -55.3996
-66.8553, -34.6727, -59.0832
-58.7524, -40.9357, -58.1676
-20.5775, -48.4649, -67.617
24.2596, -55.5367, -71.6846
68.4776, -63.0447, -67.4967
108.319, -73.0806, -50.2547
158.083, -73.6842, -27.6174
203.743, -69.2398, 4.09357
233.201, -54.8198, 41.8412
248.733, -43.7817, 67.5244
256.555, -33.6163, 85.7574
236.062, -8.18713, -41.3645
217.544, -2.94284, -63.6106
198.129, 0.506823, -77.8557
175.401, 1.32051, -90.398
150.682, 2.22222, -100.429
130.466, -1.69779, -102.547
112.168, -8.86625, -103.301
93.4163, -11.5827, -104.056
64.0634, -14.2615, -103.792
28.5606, -17.1666, -101.603
-4.36647, -18.2846, -93.0214
-21.9581, -24.75, -85.8329
-32.9749, -27.7306, -78.7776
-48.46, -29.1228, -72.9435
-67.3835, -30.8998, -60.1773
-84.6633, -37.0119, -43.7653
-95.4914, -38.8983, -31.0507
-100.811, -41.0489, -24.2218
-101.641, -44.5576, -21.4676
